ring,year,doy,depth,sm
4,2005,264,3,43.5714
4,2005,269,3,44.7924
4,2005,273,3,44.165
10,2005,159,3,37.3025
10,2005,160,3,37.4693
10,2005,161,3,37.0599
10,2005,164,3,37.1496
10,2005,166,3,37.4978
10,2005,168,3,37.2729
10,2005,171,3,37.1551
10,2005,173,3,37.0806
10,2005,175,3,36.5473
10,2005,178,3,34.8019
10,2005,180,3,33.2769
10,2005,184,3,30.5238
10,2005,188,3,28.8515
10,2005,192,3,27.8474
10,2005,194,3,28.1454
10,2005,196,3,28.3754
10,2005,199,3,28.4387
10,2005,201,3,28.5967
10,2005,208,3,31.4226
10,2005,210,3,30.8408
10,2005,213,3,31.8219
10,2005,215,3,30.7926
10,2005,217,3,29.9928
10,2005,224,3,28.4536
10,2005,228,3,28.1795
10,2005,233,3,36.1715
10,2005,236,3,35.0525
10,2005,240,3,34.1917
10,2005,243,3,33.185
10,2005,245,3,NA
10,2005,250,3,32.3001
10,2005,254,3,29.5014
10,2005,258,3,29.5182
10,2005,261,3,36.8992
10,2005,264,3,38.2552
10,2005,269,3,40.0579
10,2005,273,3,39.7335
11,2005,159,3,38.415
11,2005,160,3,38.4327
11,2005,161,3,38.2818
11,2005,164,3,38.1599
11,2005,166,3,38.9007
11,2005,168,3,38.5475
11,2005,171,3,38.3678
11,2005,173,3,38.1155
11,2005,175,3,37.5417
11,2005,178,3,36.3885
11,2005,180,3,35.3897
11,2005,184,3,34.0455
11,2005,188,3,32.8619
11,2005,192,3,31.4974
11,2005,194,3,31.3893
11,2005,196,3,31.6761
11,2005,199,3,31.7405
11,2005,201,3,31.7714
11,2005,208,3,34.2363
11,2005,210,3,33.8219
11,2005,213,3,35.3355
11,2005,215,3,34.6485
11,2005,217,3,34.034
11,2005,224,3,31.8338
11,2005,228,3,31.9779
11,2005,233,3,36.4145
11,2005,236,3,35.8933
11,2005,240,3,34.9574
11,2005,243,3,34.1489
11,2005,245,3,33.2706
11,2005,250,3,32.3748
11,2005,254,3,30.1999
11,2005,258,3,30.5291
11,2005,261,3,38.9677
11,2005,264,3,40.0425
11,2005,269,3,41.5966
11,2005,273,3,41.1333
1,2005,159,4,39.7442
1,2005,160,4,39.7532
1,2005,161,4,39.5992
