run,Assim,Qp,TL,RH,Ci,,Cond
37,0.543,1500,28.17,53.63,61.3,74.47,0.0865
37,-0.83,1500,28,53.96,47.3,34.67,0.106
37,12.6,1500,27.96,53.92,219,401.25,0.132
37,17.2,1500,28.06,54.25,301,600.94,0.107
37,15.1,1500,28.57,54.18,400,1000.08,0.0438
38,13.2,1498,28.6,53.24,239,399.99,0.164
38,9.64,1500,28.5,53.72,189,299.5,0.177
38,5.6,1500,28.38,54.3,139,199.76,0.193
38,2.41,1500,28.42,54.79,98.7,124.74,0.208
38,0.262,1500,28.37,55.18,71.2,75.76,0.225
38,-2.14,1501,28.31,55.57,51.3,34.84,0.243
38,15,1498,28.15,55.56,275,402.22,0.26
38,21.2,1501,28.21,55,426,600.72,0.274
38,26.3,1499,28.3,54.26,775,1000.3,0.273
39,18.4,1500,27.2,53.22,263,400.74,0.3
39,12.6,1500,27.14,52.31,198,299.62,0.274
39,7.55,1500,27.2,51.38,136,199.61,0.259
39,2.98,1501,27.26,50.41,98.8,125.17,0.263
39,0.674,1500,27.31,49.31,67.3,74.51,0.271
39,-1.68,1500,27.37,48.44,46.2,34.95,0.279
39,17.4,1499,27.34,47.29,264,400.75,0.284
39,25.3,1501,27.23,46.49,403,601,0.288
39,31.9,1500,27.37,45.6,735,1000.66,0.275
40,12.8,1500,28.82,44.79,201,400.41,0.123
40,7.88,1499,28.95,44.99,148,300.15,0.0967
40,4.16,1501,28.99,45.12,111,201.15,0.0865
40,1.75,1500,29.12,45.49,83.5,124.51,0.0824
40,0.443,1500,29.21,45.93,62.7,74.7,0.0832
40,-0.865,1500,29.08,46.62,51,35.28,0.0869
40,11.4,1502,28.84,47.2,181,402.26,0.0954
40,17.9,1500,28.73,47.26,274,600.47,0.102
40,27.8,1499,28.7,47.1,471,1000.54,0.0975
41,19.1,1499,24.99,43.72,233,400.03,0.241
41,12.4,1500,25.21,43.65,168,298.58,0.192
41,6.59,1501,25.44,43.5,115,200.44,0.151
41,2.9,1500,25.65,43.57,83.2,125.85,0.134
41,0.648,1500,25.83,43.76,63.5,74.59,0.131
41,-0.921,1499,25.88,44.06,47.1,36.3,0.141
41,15.9,1500,25.87,44.37,202,401.25,0.156
41,23.7,1502,25.76,44.89,321,600.41,0.168
41,29.9,1500,25.8,45.18,638,999.62,0.166
42,14.12420462,1499.823975,24.68414879,40.83250046,243.0223601,398.8483582,0.183519302
42,10.53151372,1500.364014,24.8243866,40.74507141,183.2717846,299.5319519,0.183718233
42,6.311323385,1499.17334,24.8849926,40.70225525,129.5839309,199.8896332,0.183585367
42,2.995323851,1498.686157,24.94343376,40.75812531,90.82159982,124.7216263,0.185783892
42,0.926829832,1500.121582,24.98733711,40.92556381,64.20654142,75.57144928,0.189734734
